formula_id,material_id,proportion
FRM-01,RM-04,0.1204
FRM-01,RM-12,0.1406
FRM-01,RM-17,0.4297
FRM-01,RM-13,0.3094
FRM-02,RM-08,0.2789
FRM-02,RM-18,0.5021
FRM-02,RM-11,0.219
FRM-03,RM-01,0.287
FRM-03,RM-08,0.5442
FRM-03,RM-03,0.1689
FRM-04,RM-13,0.1787
FRM-04,RM-17,0.4898
FRM-04,RM-02,0.3315
FRM-05,RM-08,0.1832
FRM-05,RM-16,0.2578
FRM-05,RM-10,0.4556
FRM-05,RM-06,0.1034
FRM-06,RM-14,0.1505
FRM-06,RM-06,0.1449
FRM-06,RM-10,0.3793
FRM-06,RM-11,0.1351
FRM-06,RM-03,0.1902
FRM-07,RM-11,0.0591
FRM-07,RM-17,0.1343
FRM-07,RM-14,0.1964
FRM-07,RM-03,0.2324
FRM-07,RM-10,0.3778
FRM-08,RM-05,0.1258
FRM-08,RM-17,0.2717
FRM-08,RM-02,0.548
FRM-08,RM-04,0.0545
FRM-09,RM-02,0.3971
FRM-09,RM-15,0.1042
FRM-09,RM-11,0.2023
FRM-09,RM-01,0.1429
FRM-09,RM-18,0.1535
FRM-10,RM-16,0.3055
FRM-10,RM-06,0.0435
FRM-10,RM-17,0.1218
FRM-10,RM-07,0.2889
FRM-10,RM-08,0.2403
FRM-11,RM-01,0.5497
FRM-11,RM-17,0.3701
FRM-11,RM-16,0.0803
FRM-12,RM-14,0.1658
FRM-12,RM-18,0.5143
FRM-12,RM-16,0.3199
