batch_id,period,period_idx,plant_id,region,formula_id,product_id,product_family,oee,yield_pct,planned_qty_t,actual_qty_t,sold_qty_t,qc_failed,rm_cost_per_t,total_cost,revenue,cs_active,gross_margin,conv_cost_per_t_calc
BAT-000001,2024-10,0,PLT-06,APAC,FRM-05,PRD-05,Coatings,0.8368,0.9446,14.15,13.37,13.37,0,1264.2,24617.65,41536.12,0,16918.47,475.56325088339213
BAT-000002,2024-10,0,PLT-02,AMER,FRM-06,PRD-06,Coatings,0.8193,0.8856,40.14,35.55,35.55,0,1372.28,79550.38,115095.64,0,35545.259999999995,609.5431190832089
BAT-000003,2024-10,0,PLT-03,APAC,FRM-10,PRD-10,Agrochem,0.7176,0.8993,72.46,65.16,0.0,1,553.28,56734.32,0.0,0,-56734.32,229.69433066519468
BAT-000004,2024-10,0,PLT-01,EMEA,FRM-01,PRD-01,Polymers,0.804,0.8758,39.09,34.24,34.24,0,726.88,39272.68,57574.31,0,18301.629999999997,277.7933179841391
BAT-000005,2024-10,0,PLT-05,LATAM,FRM-09,PRD-09,Specialty,0.7938,0.8277,13.22,10.95,10.95,0,1543.95,28399.77,28588.48,0,188.70999999999913,604.2928139183057
BAT-000006,2024-10,0,PLT-04,EMEA,FRM-09,PRD-09,Specialty,0.8468,0.8137,29.12,23.69,23.69,0,1543.95,59302.77,64205.92,0,4903.1500000000015,492.5462225274723
BAT-000007,2024-10,0,PLT-06,APAC,FRM-11,PRD-11,Polymers,0.8183,0.9342,44.69,41.75,41.75,0,699.3,43613.2,65809.59,0,22196.39,276.6051241888566
BAT-000008,2024-10,0,PLT-03,APAC,FRM-12,PRD-12,Solvents,0.6549,0.8838,80.86,71.46,71.46,0,584.64,70105.32,102638.4,0,32533.079999999987,282.3562898837498
BAT-000009,2024-10,0,PLT-02,AMER,FRM-11,PRD-11,Polymers,0.8693,0.9281,64.19,59.57,59.57,0,699.3,62998.37,99408.84,0,36410.469999999994,282.13589344134607
BAT-000010,2024-10,0,PLT-04,EMEA,FRM-04,PRD-04,Agrochem,0.9111,0.9037,61.28,55.38,55.38,0,522.58,44036.1,63494.5,0,19458.4,196.02476501305478
BAT-000011,2024-10,0,PLT-01,EMEA,FRM-07,PRD-07,Catalysts,0.85,0.8463,1.64,1.39,1.39,0,14308.0,33777.89,51543.97,0,17766.08,6288.274390243903
BAT-000012,2024-10,0,PLT-05,LATAM,FRM-11,PRD-11,Polymers,0.7896,0.9378,27.95,26.21,26.21,0,699.3,27133.0,42036.25,0,14903.25,271.4692307692309
BAT-000013,2024-10,0,PLT-05,LATAM,FRM-12,PRD-12,Solvents,0.8098,0.9454,28.02,26.49,26.49,0,584.64,23602.57,36650.84,0,13048.269999999997,257.7072519628837
BAT-000014,2024-10,0,PLT-04,EMEA,FRM-09,PRD-09,Specialty,0.9283,0.8418,27.0,22.73,22.73,0,1543.95,55240.62,57910.16,0,2669.540000000001,501.99888888888904
BAT-000015,2024-10,0,PLT-03,APAC,FRM-06,PRD-06,Coatings,0.6245,0.8543,32.53,27.79,27.79,0,1372.28,65950.4,88761.73,0,22811.33,655.0916569320625
BAT-000016,2024-10,0,PLT-05,LATAM,FRM-12,PRD-12,Solvents,0.7622,0.9507,67.01,63.7,63.7,0,584.64,56227.3,90032.99,0,33805.69,254.4481957916729
BAT-000017,2024-10,0,PLT-05,LATAM,FRM-05,PRD-05,Coatings,0.7877,0.9154,29.63,27.13,27.13,0,1264.2,54494.73,83974.12,0,29479.389999999992,574.9741478231524
BAT-000018,2024-10,0,PLT-06,APAC,FRM-05,PRD-05,Coatings,0.7799,0.9178,34.03,31.24,31.24,0,1264.2,61153.56,89248.43,0,28094.869999999995,532.8484866294443
BAT-000019,2024-10,0,PLT-03,APAC,FRM-05,PRD-05,Coatings,0.6319,0.8707,12.35,10.75,10.75,0,1264.2,23469.65,30602.74,0,7133.09,636.1765182186236
BAT-000020,2024-10,0,PLT-06,APAC,FRM-03,PRD-03,Solvents,0.8594,0.9486,48.0,45.53,45.53,0,530.67,35588.18,59178.49,0,23590.309999999998,210.75041666666675
BAT-000021,2024-10,0,PLT-01,EMEA,FRM-08,PRD-08,Surfactants,0.9362,0.9418,23.71,22.33,22.33,0,1002.54,33182.61,53093.74,0,19911.129999999997,396.9796119780683
BAT-000022,2024-10,0,PLT-02,AMER,FRM-10,PRD-10,Agrochem,0.8625,0.8855,59.27,52.49,52.49,0,553.28,45668.49,66283.27,0,20614.780000000006,217.2361127045723
BAT-000023,2024-10,0,PLT-06,APAC,FRM-03,PRD-03,Solvents,0.7942,0.9265,58.29,54.0,54.0,0,530.67,44290.11,73823.17,0,29533.059999999998,229.15346886258374
BAT-000024,2024-10,0,PLT-01,EMEA,FRM-07,PRD-07,Catalysts,0.8769,0.8774,1.92,1.68,0.0,1,14308.0,37652.44,0.0,0,-37652.44,5302.645833333336
BAT-000025,2024-10,0,PLT-02,AMER,FRM-04,PRD-04,Agrochem,0.7849,0.8451,57.91,48.94,48.94,0,522.58,43135.33,58788.57,0,15653.239999999998,222.28841650837512
BAT-000026,2024-10,0,PLT-04,EMEA,FRM-11,PRD-11,Polymers,0.929,0.9335,51.46,48.04,48.04,0,699.3,49225.33,82095.66,0,32870.33,257.27462106490486
