period,period_idx,plant_id,product_id,qty_on_hand_t,inventory_value,age_days,shelf_life_risk,cs_active
2024-10,0,PLT-01,PRD-01,519.67,567061.52,61.3,0,0
2024-10,0,PLT-01,PRD-02,371.84,459934.63,11.7,0,0
2024-10,0,PLT-01,PRD-03,437.86,361057.17,43.3,0,0
2024-10,0,PLT-01,PRD-04,485.07,356381.01,83.7,0,0
2024-10,0,PLT-01,PRD-05,359.31,670553.41,163.9,1,0
2024-10,0,PLT-01,PRD-06,147.8,309734.89,137.2,0,0
2024-10,0,PLT-01,PRD-07,301.13,6814505.19,40.6,0,0
2024-10,0,PLT-01,PRD-08,627.98,899394.98,69.3,0,0
2024-10,0,PLT-01,PRD-09,247.9,402681.3,106.0,0,0
2024-10,0,PLT-01,PRD-10,603.48,462087.42,124.9,0,0
2024-10,0,PLT-01,PRD-11,267.12,275743.63,179.7,1,0
2024-10,0,PLT-01,PRD-12,378.37,337811.86,53.4,0,0
2024-10,0,PLT-02,PRD-01,485.13,529373.04,20.9,0,0
2024-10,0,PLT-02,PRD-02,350.97,434112.98,28.3,0,0
2024-10,0,PLT-02,PRD-03,156.66,129180.78,184.9,1,0
2024-10,0,PLT-02,PRD-04,194.8,143115.94,106.8,0,0
2024-10,0,PLT-02,PRD-05,434.67,811190.22,103.4,0,0
2024-10,0,PLT-02,PRD-06,700.94,1468886.48,16.0,0,0
2024-10,0,PLT-02,PRD-07,724.7,16399926.84,48.0,0,0
2024-10,0,PLT-02,PRD-08,749.64,1073635.31,135.0,0,0
2024-10,0,PLT-02,PRD-09,494.58,803397.02,22.4,0,0
2024-10,0,PLT-02,PRD-10,730.24,559145.02,45.8,0,0
2024-10,0,PLT-02,PRD-11,285.58,294802.31,89.4,0,0
2024-10,0,PLT-02,PRD-12,172.67,154162.26,87.7,0,0
2024-10,0,PLT-03,PRD-01,482.27,526253.5,160.9,1,0
2024-10,0,PLT-03,PRD-02,200.67,248208.77,164.4,1,0
2024-10,0,PLT-03,PRD-03,510.64,421076.52,177.7,1,0
2024-10,0,PLT-03,PRD-04,390.56,286941.21,91.1,0,0
2024-10,0,PLT-03,PRD-05,471.18,879314.49,33.2,0,0
2024-10,0,PLT-03,PRD-06,298.16,624816.22,183.6,1,0
2024-10,0,PLT-03,PRD-07,309.67,7007821.05,131.5,0,0
2024-10,0,PLT-03,PRD-08,209.49,300033.89,133.8,0,0
2024-10,0,PLT-03,PRD-09,496.42,806387.68,179.2,1,0
2024-10,0,PLT-03,PRD-10,440.22,337079.86,29.1,0,0
2024-10,0,PLT-03,PRD-11,210.8,217604.68,150.7,1,0
2024-10,0,PLT-03,PRD-12,548.15,489386.45,56.4,0,0
