po_id,period,period_idx,supplier_id,region,geo_risk,material_id,qty_t,on_time_in_full,actual_lead_days,planned_lead_days,po_value,quality_reject,cs_active,lead_time_variance
PO-000001,2024-10,0,SUP-01,EMEA,Low,RM-20,236.47,1,18.4,12.0,461109.35,0,0,6.399999999999999
PO-000002,2024-10,0,SUP-01,EMEA,Low,RM-11,184.4,1,17.5,12.0,414906.28,0,0,5.5
PO-000003,2024-10,0,SUP-01,EMEA,Low,RM-07,138.14,1,10.2,12.0,3937001.93,0,0,-1.8000000000000007
PO-000004,2024-10,0,SUP-01,EMEA,Low,RM-04,105.05,1,13.8,12.0,43072.03,0,0,1.8000000000000007
PO-000005,2024-10,0,SUP-01,EMEA,Low,RM-15,193.22,1,13.5,12.0,170033.8,0,0,1.5
PO-000006,2024-10,0,SUP-01,EMEA,Low,RM-17,120.96,1,17.9,12.0,199581.27,0,0,5.899999999999999
PO-000007,2024-10,0,SUP-01,EMEA,Low,RM-05,196.75,1,9.2,12.0,35415.79,0,0,-2.8000000000000007
PO-000008,2024-10,0,SUP-02,AMER,Low,RM-05,163.64,1,19.8,18.0,29454.55,0,0,1.8000000000000007
PO-000009,2024-10,0,SUP-02,AMER,Low,RM-09,40.21,1,23.5,18.0,25735.65,0,0,5.5
PO-000010,2024-10,0,SUP-02,AMER,Low,RM-11,259.38,0,19.2,18.0,583594.58,0,0,1.1999999999999993
PO-000011,2024-10,0,SUP-02,AMER,Low,RM-11,149.76,1,20.1,18.0,336962.07,0,0,2.1000000000000014
PO-000012,2024-10,0,SUP-02,AMER,Low,RM-06,206.13,1,16.7,18.0,638997.1,0,0,-1.3000000000000007
PO-000013,2024-10,0,SUP-02,AMER,Low,RM-02,117.08,1,20.2,18.0,92495.86,0,0,2.1999999999999993
PO-000014,2024-10,0,SUP-02,AMER,Low,RM-02,135.05,0,21.0,18.0,106693.0,0,0,3.0
PO-000015,2024-10,0,SUP-02,AMER,Low,RM-13,163.71,1,23.8,18.0,55662.68,0,0,5.800000000000001
PO-000016,2024-10,0,SUP-02,AMER,Low,RM-18,134.88,1,21.9,18.0,323719.91,1,0,3.8999999999999986
PO-000017,2024-10,0,SUP-02,AMER,Low,RM-07,153.28,1,20.4,18.0,4368597.83,0,0,2.3999999999999986
PO-000018,2024-10,0,SUP-03,APAC,Medium,RM-18,249.41,1,30.1,34.0,598592.12,0,0,-3.8999999999999986
PO-000019,2024-10,0,SUP-03,APAC,Medium,RM-12,167.35,1,34.1,34.0,43510.62,0,0,0.10000000000000142
PO-000020,2024-10,0,SUP-03,APAC,Medium,RM-09,95.86,1,39.8,34.0,61353.12,0,0,5.799999999999997
PO-000021,2024-10,0,SUP-03,APAC,Medium,RM-01,154.01,1,29.7,34.0,126286.94,0,0,-4.300000000000001
PO-000022,2024-10,0,SUP-03,APAC,Medium,RM-03,200.28,1,30.9,34.0,192265.91,0,0,-3.1000000000000014
PO-000023,2024-10,0,SUP-03,APAC,Medium,RM-04,251.14,1,37.4,34.0,102966.08,0,0,3.3999999999999986
PO-000024,2024-10,0,SUP-03,APAC,Medium,RM-08,85.68,1,32.9,34.0,61686.36,0,0,-1.1000000000000014
PO-000025,2024-10,0,SUP-04,EMEA,Low,RM-18,53.74,1,8.6,10.0,128964.54,0,0,-1.4000000000000004
PO-000026,2024-10,0,SUP-04,EMEA,Low,RM-13,198.52,1,12.2,10.0,67496.81,0,0,2.1999999999999993
PO-000027,2024-10,0,SUP-04,EMEA,Low,RM-05,248.48,1,10.2,10.0,44726.01,0,0,0.1999999999999993
PO-000028,2024-10,0,SUP-04,EMEA,Low,RM-07,152.68,1,10.8,10.0,4351473.84,0,0,0.8000000000000007
PO-000029,2024-10,0,SUP-04,EMEA,Low,RM-05,187.52,1,11.9,10.0,33753.76,0,0,1.9000000000000004
PO-000030,2024-10,0,SUP-04,EMEA,Low,RM-08,162.61,1,12.2,10.0,117076.67,0,0,2.1999999999999993
PO-000031,2024-10,0,SUP-04,EMEA,Low,RM-01,114.52,1,7.2,10.0,93903.66,0,0,-2.8
PO-000032,2024-10,0,SUP-04,EMEA,Low,RM-08,150.66,1,13.0,10.0,108474.72,0,0,3.0
PO-000033,2024-10,0,SUP-04,EMEA,Low,RM-15,81.4,1,11.5,10.0,71629.41,0,0,1.5
PO-000034,2024-10,0,SUP-05,LATAM,Medium,RM-14,109.75,1,25.3,26.0,41703.14,0,0,-0.6999999999999993
PO-000035,2024-10,0,SUP-05,LATAM,Medium,RM-11,243.1,1,25.3,26.0,546974.39,0,0,-0.6999999999999993
PO-000036,2024-10,0,SUP-05,LATAM,Medium,RM-04,198.53,1,23.7,26.0,81398.62,0,0,-2.3000000000000007
PO-000037,2024-10,0,SUP-05,LATAM,Medium,RM-12,173.44,1,31.3,26.0,45093.22,0,0,5.300000000000001
PO-000038,2024-10,0,SUP-05,LATAM,Medium,RM-09,243.21,1,24.8,26.0,155655.52,0,0,-1.1999999999999993
PO-000039,2024-10,0,SUP-05,LATAM,Medium,RM-17,95.61,1,26.5,26.0,157763.31,0,0,0.5
PO-000040,2024-10,0,SUP-05,LATAM,Medium,RM-14,72.12,1,25.5,26.0,27405.51,0,0,-0.5
PO-000041,2024-10,0,SUP-06,APAC,Medium,RM-09,114.68,1,26.1,29.0,73397.88,0,0,-2.8999999999999986
PO-000042,2024-10,0,SUP-06,APAC,Medium,RM-01,60.24,1,29.6,29.0,49394.38,0,0,0.6000000000000014
PO-000043,2024-10,0,SUP-06,APAC,Medium,RM-12,222.17,1,27.8,29.0,57763.74,0,0,-1.1999999999999993
PO-000044,2024-10,0,SUP-06,APAC,Medium,RM-19,62.09,1,28.2,29.0,18004.91,0,0,-0.8000000000000007
PO-000045,2024-10,0,SUP-06,APAC,Medium,RM-16,54.04,1,30.0,29.0,23239.2,0,0,1.0
PO-000046,2024-10,0,SUP-06,APAC,Medium,RM-03,223.51,1,26.4,29.0,214569.2,0,0,-2.6000000000000014
PO-000047,2024-10,0,SUP-07,EMEA,High,RM-16,195.09,0,21.9,22.0,83889.41,0,0,-0.10000000000000142
PO-000048,2024-10,0,SUP-07,EMEA,High,RM-03,193.34,1,21.6,22.0,185602.22,0,0,-0.3999999999999986
PO-000049,2024-10,0,SUP-07,EMEA,High,RM-10,134.74,1,23.2,22.0,158995.83,0,0,1.1999999999999993
PO-000050,2024-10,0,SUP-07,EMEA,High,RM-10,146.64,1,21.4,22.0,173032.55,0,0,-0.6000000000000014
PO-000051,2024-10,0,SUP-07,EMEA,High,RM-20,243.86,0,20.2,22.0,475536.28,0,0,-1.8000000000000007
PO-000052,2024-10,0,SUP-07,EMEA,High,RM-18,171.5,0,24.6,22.0,411594.39,0,0,2.6000000000000014
PO-000053,2024-10,0,SUP-07,EMEA,High,RM-12,152.42,0,20.9,22.0,39628.74,0,0,-1.1000000000000014
PO-000054,2024-10,0,SUP-08,APAC,Low,RM-15,247.29,1,21.1,20.0,217618.09,0,0,1.1000000000000014
PO-000055,2024-10,0,SUP-08,APAC,Low,RM-07,123.83,1,18.1,20.0,3529049.44,0,0,-1.8999999999999986
PO-000056,2024-10,0,SUP-08,APAC,Low,RM-17,207.66,0,24.5,20.0,342631.12,0,0,4.5
PO-000057,2024-10,0,SUP-08,APAC,Low,RM-11,258.73,0,16.9,20.0,582147.87,0,0,-3.1000000000000014
PO-000058,2024-10,0,SUP-08,APAC,Low,RM-09,186.2,1,19.2,20.0,119168.25,0,0,-0.8000000000000007
PO-000059,2024-10,0,SUP-08,APAC,Low,RM-15,134.85,1,17.9,20.0,118671.0,0,0,-2.1000000000000014
PO-000060,2024-10,0,SUP-08,APAC,Low,RM-07,139.42,1,24.4,20.0,3973543.72,0,0,4.399999999999999
PO-000061,2024-10,0,SUP-08,APAC,Low,RM-20,164.89,1,19.8,20.0,321541.62,0,0,-0.1999999999999993
PO-000062,2024-10,0,SUP-09,AMER,Low,RM-10,63.29,1,11.4,14.0,74681.26,0,0,-2.5999999999999996
PO-000063,2024-10,0,SUP-09,AMER,Low,RM-01,177.23,1,22.2,14.0,145326.32,0,0,8.2
PO-000064,2024-10,0,SUP-09,AMER,Low,RM-16,41.62,1,9.6,14.0,17898.29,0,0,-4.4
PO-000065,2024-10,0,SUP-09,AMER,Low,RM-18,99.16,1,16.3,14.0,237986.23,0,0,2.3000000000000007
PO-000066,2024-10,0,SUP-09,AMER,Low,RM-10,171.53,1,11.8,14.0,202410.59,0,0,-2.1999999999999993
PO-000067,2024-10,0,SUP-09,AMER,Low,RM-05,55.53,1,10.9,14.0,9995.15,0,0,-3.0999999999999996
PO-000068,2024-10,0,SUP-09,AMER,Low,RM-18,188.64,1,22.0,14.0,452746.04,0,0,8.0
PO-000069,2024-10,0,SUP-09,AMER,Low,RM-12,105.96,1,14.4,14.0,27548.53,0,0,0.40000000000000036
PO-000070,2024-10,0,SUP-09,AMER,Low,RM-06,235.29,1,17.0,14.0,729387.78,0,0,3.0
PO-000071,2024-10,0,SUP-09,AMER,Low,RM-02,57.64,1,16.6,14.0,45533.31,0,0,2.6000000000000014
PO-000072,2024-10,0,SUP-10,EMEA,Medium,RM-02,249.86,1,23.4,24.0,197391.28,0,0,-0.6000000000000014
PO-000073,2024-10,0,SUP-10,EMEA,Medium,RM-02,145.48,0,25.1,24.0,114927.41,0,0,1.1000000000000014
PO-000074,2024-10,0,SUP-10,EMEA,Medium,RM-09,104.68,1,20.8,24.0,66994.58,0,0,-3.1999999999999993
PO-000075,2024-10,0,SUP-10,EMEA,Medium,RM-16,87.43,1,30.3,24.0,37594.59,0,0,6.300000000000001
PO-000076,2024-10,0,SUP-10,EMEA,Medium,RM-08,153.07,1,24.8,24.0,110207.97,0,0,0.8000000000000007
PO-000077,2024-10,0,SUP-10,EMEA,Medium,RM-09,217.66,1,23.8,24.0,139303.46,0,0,-0.1999999999999993
PO-000078,2024-11,1,SUP-01,EMEA,Low,RM-07,93.9,1,9.7,12.0,2725431.62,0,0,-2.3000000000000007
PO-000079,2024-11,1,SUP-01,EMEA,Low,RM-06,180.68,1,12.3,12.0,570444.59,0,0,0.3000000000000007
PO-000080,2024-11,1,SUP-01,EMEA,Low,RM-10,82.71,1,10.5,12.0,99393.96,0,0,-1.5
PO-000081,2024-11,1,SUP-01,EMEA,Low,RM-01,226.06,1,15.5,12.0,188790.87,0,0,3.5
PO-000082,2024-11,1,SUP-01,EMEA,Low,RM-15,247.03,1,11.3,12.0,221400.59,0,0,-0.6999999999999993
PO-000083,2024-11,1,SUP-01,EMEA,Low,RM-14,226.75,0,8.6,12.0,87756.07,0,0,-3.4000000000000004
PO-000084,2024-11,1,SUP-01,EMEA,Low,RM-13,177.58,1,19.5,12.0,61491.38,0,0,7.5
PO-000085,2024-11,1,SUP-01,EMEA,Low,RM-01,159.86,1,13.8,12.0,133506.65,0,0,1.8000000000000007
PO-000086,2024-11,1,SUP-01,EMEA,Low,RM-14,129.56,1,11.0,12.0,50139.76,1,0,-1.0
PO-000087,2024-11,1,SUP-02,AMER,Low,RM-17,183.44,1,22.6,18.0,308258.9,0,0,4.600000000000001
PO-000088,2024-11,1,SUP-02,AMER,Low,RM-14,84.66,1,16.5,18.0,32763.14,0,0,-1.5
PO-000089,2024-11,1,SUP-02,AMER,Low,RM-09,244.73,1,19.2,18.0,159516.23,0,0,1.1999999999999993
PO-000090,2024-11,1,SUP-02,AMER,Low,RM-17,44.08,1,20.1,18.0,74078.21,0,0,2.1000000000000014
PO-000091,2024-11,1,SUP-02,AMER,Low,RM-17,82.15,1,17.2,18.0,138054.32,0,0,-0.8000000000000007
PO-000092,2024-11,1,SUP-02,AMER,Low,RM-02,79.7,1,19.8,18.0,64123.86,0,0,1.8000000000000007
