shipment_id,period,period_idx,batch_id,plant_id,carrier_id,mode,customer_id,customer_region,qty_t,on_time_in_full,freight_cost,disruption_flag,cs_active
SHP-000001,2025-06,8,BAT-001853,PLT-03,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-01,EMEA,57.62,1,6320.83,0,0
SHP-000002,2025-02,4,BAT-000949,PLT-02,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-09,AMER,53.76,1,3281.19,0,0
SHP-000003,2026-09,23,BAT-005167,PLT-04,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-07,APAC,78.86,1,9493.32,0,1
SHP-000004,2025-01,3,BAT-000746,PLT-01,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-09,AMER,24.61,0,2987.99,0,0
SHP-000005,2025-03,5,BAT-001108,PLT-02,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-09,AMER,41.41,1,4599.65,0,0
SHP-000006,2025-03,5,BAT-001151,PLT-01,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-04,EMEA,18.22,1,2224.98,0,0
SHP-000007,2026-06,20,BAT-004598,PLT-04,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-10,APAC,101.6,1,6450.39,0,1
SHP-000008,2025-01,3,BAT-000808,PLT-02,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-10,APAC,73.2,1,4627.34,0,0
SHP-000009,2025-07,9,BAT-002177,PLT-01,CAR-02,"<bound method Series.mode of carrier_id                 CAR-02
carrier_name    EuroHaz Transport
mode                  Hazmat Road
base_otif                    0.91
Name: 1, dtype: object>",CUS-10,APAC,30.29,1,2515.29,0,0
SHP-000010,2025-03,5,BAT-001190,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-07,APAC,35.1,1,3905.19,0,0
SHP-000011,2025-11,13,BAT-002869,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-06,AMER,51.14,1,4884.08,0,0
SHP-000012,2025-09,11,BAT-002435,PLT-02,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-15,EMEA,39.65,1,5122.69,0,0
SHP-000013,2026-03,17,BAT-003781,PLT-01,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-01,EMEA,30.39,1,1765.7,0,0
SHP-000014,2025-05,7,BAT-001685,PLT-01,CAR-04,"<bound method Series.mode of carrier_id                CAR-04
carrier_name    RailChem Freight
mode                        Rail
base_otif                   0.93
Name: 3, dtype: object>",CUS-11,EMEA,36.61,1,4246.94,0,0
SHP-000015,2025-04,6,BAT-001418,PLT-01,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-05,LATAM,16.96,1,1982.52,0,0
SHP-000016,2025-01,3,BAT-000689,PLT-05,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-10,APAC,43.34,1,5469.87,0,0
SHP-000017,2025-06,8,BAT-001942,PLT-02,CAR-01,"<bound method Series.mode of carrier_id                    CAR-01
carrier_name    GlobalTank Logistics
mode                     Bulk Liquid
base_otif                       0.94
Name: 0, dtype: object>",CUS-15,EMEA,1.21,1,78.52,0,0
SHP-000018,2025-07,9,BAT-002103,PLT-04,CAR-03,"<bound method Series.mode of carrier_id               CAR-03
carrier_name    OceanChem Lines
mode                 Ocean Bulk
base_otif                  0.88
Name: 2, dtype: object>",CUS-09,AMER,2.54,1,243.94,0,0
SHP-000019,2026-09,23,BAT-005151,PLT-06,CAR-05,"<bound method Series.mode of carrier_id               CAR-05
carrier_name    AirExpress Spec
mode                        Air
base_otif                  0.96
Name: 4, dtype: object>",CUS-09,AMER,12.73,1,1522.28,0,1
